epochs,loss,acc
1,0.01402723878994584,0.7924875
2,0.01080873902142048,0.8031375
3,0.010810076808929443,0.803975
4,0.010800849265605211,0.8046625
5,0.010794144023954868,0.8058875
6,0.010754289429634809,0.8100625
7,0.010553097933530807,0.8338
8,0.00979460959509015,0.898275
9,0.007235032566264271,0.9332875
10,0.0024103919728193433,0.9581625
11,0.0020923972148448227,0.9612625
12,0.001812883945251815,0.9645125
13,0.0015262460281606765,0.9702625
14,0.0013565621824585834,0.9760625
15,0.0012848846767330542,0.977525
