epochs,loss,acc
1,0.011221776355057955,0.8030375
2,0.010746309541910887,0.81105
3,0.01007198990508914,0.8771125
4,0.009528467175737023,0.9312125
5,0.007232641826942563,0.9414625
6,0.0024846763289067893,0.955125
7,0.0021758403406012803,0.9606
8,0.0018622806598432363,0.9635875
9,0.0015346611204557121,0.9692375
10,0.001361674716451671,0.97425
11,0.0012432533430401236,0.9767625
12,0.0011997129019466228,0.9772375
13,0.001159599076322047,0.9773625
14,0.0011109758894890546,0.9789125
15,0.0010804079801775516,0.9801375
